COURSE #,TITLE/START DATE,Acad Level,CAPACITY,# OF STUDENTS,STATUS,INSTRUCTOR,Start Time,End Time,Meeting Days,Bldg,Room,XLIST CRS,FEE,Min Cred,Max Cred,COREQ CRS,Section,Term,Seq No,Schools,,,,,,,,,,,,,,Acad Level
GCIS_516_0A,Data Centric Cncpt&Meth,GR,25,0,Open,Dr Y Liu,04:30PM,05:50PM,M W,IHK,204,,$115,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_516_0B,Data Centric Cncpt&Meth,GR,25,0,Open,Dr Y Liu,04:30PM,05:50PM,T TH,IHK,204,,$115,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_522_0A,Adv Prog: Java Mobile,GR,25,0,Open,Staff,06:00PM,07:20PM,M W,Z,355,,$70,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_523_0A,Statistical Computing,GR,25,0,Open,Ms M Obaid,04:30PM,05:50PM,T TH,Z,101,,$115,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_523_0B,Statistical Computing,GR,25,0,Open,Ms M Obaid,01:25PM,02:45PM,M W,Z,101,,$115,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_523_0C,Statistical Computing,GR,25,0,Open,Ms Q Zhang,03:00PM,04:20PM,T TH,Z,101,,$115,3.00,0.00,,0C,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_523_0D,Statistical Computing,GR,25,0,Open,Ms Q Zhang,12:00PM,01:20PM,M W,Z,101,,$115,3.00,0.00,,0D,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_555_0A,Dynamic Web Development,GR,25,0,Open,Mr N Carlin,06:00PM,07:20PM,M W,Z,339,"CIS_355_1E,GCIS_555_0A",$70,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_580_0A,Programming in Unix,GR,25,0,Open,Dr R Bazan-Antequera,01:30PM,02:50PM,T TH,Z,336,,$115,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_581_0A,Intro to Networks,GR,24,0,Open,Staff,04:30PM,05:50PM,T TH,Z,355,,$70,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_583_0A,Intro to Cloud Architecture,GR,25,0,Open,Dr R Bazan-Antequera,06:00PM,07:20PM,T TH,Z,335,,$70,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_583_0B,Intro to Cloud Architecture,GR,25,0,Open,Mr J Severance,04:30PM,05:50PM,T TH,Z,335,,$70,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,
GCIS_583_0C,Intro to Cloud Architecture,GR,25,0,Open,Dr R Bazan-Antequera,06:00PM,07:20PM,M W,Z,335,,$70,3.00,0.00,,0C,24/FA,1,ASSEC,,,,,,,,,,,,,,
GCIS_605_0A,Scholarship Seminar,GR,25,0,Open,Dr S Tweneboah Koduah,01:30PM,02:50PM,T TH,Z,101,,,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_605_0B,Scholarship Seminar,GR,25,0,Open,Dr S Tweneboah Koduah,09:30AM,10:50AM,T TH,Z,339,,,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_605_0C,Scholarship Seminar,GR,25,0,Open,Dr M Rahman,01:25PM,02:45PM,M W,Z,336,,,3.00,0.00,,0C,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_634_0A,Software Maint & Deplymt,GR,24,0,Open,Dr M Rahman,03:00PM,04:20PM,T TH,Z,336,"GCIS_634_0A,SOFT_410_01",$70,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,
GCIS_655_0A,Data Mining Techn,GR,25,0,Open,Dr S Manakkadu,12:00PM,01:20PM,T TH,Z,339,,$70,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_656_0A,Text Mining,GR,25,0,Open,Dr S Manakkadu,09:30AM,10:50AM,T TH,Z,335,,$70,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,
GCIS_666_0A,Cybersecrty/Eth Hack,GR,25,0,Open,Dr R Matovu,09:30AM,10:50AM,T TH,IHK,204,,$115,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_666_0B,Cybersecrty/Eth Hack,GR,25,0,Open,Dr R Matovu,12:00PM,01:20PM,M W,IHK,204,,$115,3.00,0.00,,0B,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
GCIS_667_0A,Cloud Ntwks,GR,25,0,Open,Mr J Cannell,03:00PM,04:20PM,M W,IHK,203,,$70,3.00,0.00,,0A,24/FA,1,ASSEC,,,,,,,,,,,,,,
